t,TCI_normal,TCI_transpose,diag_mean_normal,diag_mean_transpose,offdiag_mean_normal,offdiag_mean_transpose,diag_minus_offdiag_normal,diag_minus_offdiag_transpose,row_err_normal,row_err_transpose,net_abs_mean_normal,net_abs_mean_transpose,rho_normal,rho_transpose,stable_normal,stable_transpose,error_normal,error_transpose
1005,44.363807377721685,58.42084743734131,0.5563619262227831,0.41579152562658706,0.07393967896286947,0.09736807906223552,0.4824222472599137,0.3184234465643515,2.220446049250313e-16,2.220446049250313e-16,0.15718108063334008,0.5646803672963384,0.613077037204206,0.6130770372042044,True,True,,
1006,46.43445570378624,59.14135208078621,0.5356554429621377,0.4085864791921378,0.0773907595063104,0.09856892013464369,0.4582646834558273,0.3100175590574941,2.220446049250313e-16,2.220446049250313e-16,0.14987785802059403,0.5635913910455091,0.5681186543259599,0.5681186543259609,True,True,,
1007,42.8563266331395,56.52831095088321,0.5714367336686051,0.4347168904911679,0.0714272110552325,0.09421385158480534,0.5000095226133726,0.3405030389063626,2.220446049250313e-16,2.220446049250313e-16,0.22833323065771283,0.5865431244214313,0.6467630046382075,0.6467630046382064,True,True,,
1008,41.09542580814629,53.59617257199242,0.589045741918537,0.4640382742800758,0.06849237634691048,0.08932695428665403,0.5205533655716265,0.3747113199934218,1.1102230246251565e-16,1.1102230246251565e-16,0.21913900473292164,0.5638725753571682,0.8421481093656473,0.8421481093656491,True,True,,
1009,80.28573683734939,75.93195808128904,0.19714263162650614,0.24068041918710964,0.1338095613955823,0.12655326346881507,0.06333307023092383,0.11412715571829457,2.220446049250313e-16,2.220446049250313e-16,1.1558303181970275,0.9075564907282178,1.5395927118215451,1.539592711821547,False,False,,
1010,50.87674157923713,66.767694396641,0.4912325842076286,0.3323230560335899,0.08479456929872854,0.11127949066106835,0.4064380149089001,0.22104356537252157,2.220446049250313e-16,4.440892098500626e-16,0.2972594773812043,0.596419944403076,0.8867615070273736,0.8867615070273737,True,True,,
1011,46.13675899729964,69.02337118884499,0.5386324100270036,0.3097662881115503,0.07689459832883273,0.11503895198140832,0.46173781169817085,0.194727336130142,3.3306690738754696e-16,2.220446049250313e-16,0.19694506034780726,0.6720513149384573,0.9272374622548407,0.9272374622548389,True,True,,
1012,49.4141598535796,70.47769178733293,0.5058584014642039,0.29522308212667064,0.08235693308929933,0.11746281964555488,0.4235014683749046,0.17776026248111576,2.220446049250313e-16,1.1102230246251565e-16,0.29925291708317775,0.6638664003023377,0.9990498299899051,0.9990498299899031,True,True,,
1013,39.73389352182608,60.36063641393119,0.6026610647817392,0.3963936358606882,0.06622315586971014,0.10060106068988532,0.536437908912029,0.2957925751708029,2.220446049250313e-16,2.220446049250313e-16,0.16755036557810396,0.6413852202817265,0.8080411392390177,0.8080411392390185,True,True,,
1014,40.10954100896453,63.84915256805371,0.5989045899103547,0.3615084743194629,0.06684923501494089,0.10641525428008951,0.5320553548954138,0.2550932200393734,2.220446049250313e-16,2.220446049250313e-16,0.19024830637388784,0.6235714659635248,0.5286327398467112,0.5286327398467122,True,True,,
1015,44.81562635814779,62.94006781689865,0.5518437364185221,0.37059932183101335,0.07469271059691297,0.10490011302816442,0.4771510258216092,0.2656992088028489,3.3306690738754696e-16,4.440892098500626e-16,0.1874963428457344,0.5293434287826491,0.6961033198219717,0.6961033198219724,True,True,,
1016,42.295870726280526,60.73513339824566,0.5770412927371947,0.3926486660175434,0.07049311787713422,0.10122522233040943,0.5065481748600605,0.29142344368713397,1.1102230246251565e-16,4.440892098500626e-16,0.14619111021357498,0.5072854651888986,0.5303123793276233,0.530312379327624,True,True,,
1017,39.81583572499572,59.266318318826194,0.6018416427500427,0.4073368168117381,0.0663597262083262,0.09877719719804366,0.5354819165417165,0.30855961961369444,2.220446049250313e-16,2.220446049250313e-16,0.13330282469827404,0.479629080007208,0.514252116908685,0.5142521169086841,True,True,,
1018,38.60447456118961,55.45071083700767,0.613955254388104,0.44549289162992317,0.06434079093531601,0.09241785139501278,0.5496144634527881,0.3530750402349104,2.220446049250313e-16,1.1102230246251565e-16,0.13974011913535164,0.47697956968586563,0.43258942009504386,0.43258942009504336,True,True,,
1019,40.66620029434608,58.5745258006096,0.5933379970565392,0.4142547419939039,0.0677770004905768,0.09762420966768268,0.5255609965659624,0.3166305323262212,2.220446049250313e-16,2.220446049250313e-16,0.19068511550232184,0.49219544052610154,0.5816370660693488,0.5816370660693491,True,True,,
1020,40.63895605080243,58.036912406678645,0.5936104394919756,0.4196308759332136,0.06773159341800404,0.09672818734446441,0.5258788460739715,0.32290268858874915,2.220446049250313e-16,2.220446049250313e-16,0.1793133303232002,0.44719104830762596,0.5766057404504563,0.5766057404504568,True,True,,
1021,41.348828976815255,58.33928199486105,0.5865117102318473,0.4166071800513896,0.06891471496135876,0.09723213665810175,0.5175969952704886,0.3193750433932878,1.1102230246251565e-16,2.220446049250313e-16,0.1706603032501084,0.4675465439355831,0.6776302112233554,0.6776302112233555,True,True,,
1022,37.7361418580934,52.62290795663588,0.622638581419066,0.47377092043364133,0.06289356976348899,0.08770484659439313,0.559745011655577,0.3860660738392482,2.220446049250313e-16,2.220446049250313e-16,0.1626657133591968,0.4127843706674019,0.6020997452556731,0.6020997452556721,True,True,,
1023,40.05008056841975,56.89548606987235,0.5994991943158026,0.43104513930127636,0.06675013428069959,0.09482581011645393,0.532749060035103,0.33621932918482245,2.220446049250313e-16,2.220446049250313e-16,0.19054109514752796,0.4674863839833198,0.5869523406718434,0.5869523406718438,True,True,,
1024,37.12586353873427,56.11381171012331,0.6287413646126573,0.43886188289876704,0.06187643923122378,0.09352301951687218,0.5668649253814335,0.34533886338189484,2.220446049250313e-16,2.220446049250313e-16,0.18792040632074225,0.5025447641689377,0.5600676582381834,0.560067658238183,True,True,,
1025,42.78761794693163,59.84564681525397,0.5721238205306837,0.4015435318474602,0.0713126965782194,0.09974274469208996,0.5008111239524643,0.3018007871553703,2.220446049250313e-16,2.220446049250313e-16,0.10608274152700405,0.5027692850973261,0.6019291391240824,0.6019291391240822,True,True,,
1026,37.663513271566956,53.702688320090544,0.6233648672843304,0.46297311679909453,0.06277252211927827,0.08950448053348423,0.5605923451650521,0.37346863626561033,3.3306690738754696e-16,3.3306690738754696e-16,0.11976408545235302,0.45242288475610265,0.4927137031010542,0.492713703101054,True,True,,
1027,37.019751642786616,53.512032777904025,0.6298024835721338,0.4648796722209599,0.06169958607131103,0.0891867212965067,0.5681028975008228,0.3756929509244532,2.220446049250313e-16,2.220446049250313e-16,0.10536348416374451,0.4759310654324981,0.4773104794117812,0.4773104794117806,True,True,,
1028,36.88813086567152,48.64529847130505,0.6311186913432848,0.5135470152869496,0.061480218109452534,0.08107549745217509,0.5696384732338322,0.4324715178347745,2.220446049250313e-16,2.220446049250313e-16,0.09794728519746286,0.3893058812002766,0.44633783792321263,0.44633783792321324,True,True,,
1029,38.67319290497347,49.681316140698286,0.6132680709502653,0.5031868385930172,0.06445532150828912,0.08280219356783047,0.5488127494419761,0.4203846450251867,3.3306690738754696e-16,2.220446049250313e-16,0.11475426213878255,0.37954028237551896,0.48512596707616645,0.48512596707616645,True,True,,
1030,35.22838747910132,47.81217827208333,0.6477161252089868,0.5218782172791668,0.05871397913183554,0.07968696378680555,0.5890021460771513,0.44219125349236127,2.220446049250313e-16,2.220446049250313e-16,0.09757984116054022,0.38693338830674756,0.46230340089363947,0.46230340089364047,True,True,,
1031,45.37501219779486,71.77565167299525,0.5462498780220516,0.28224348327004745,0.0756250203296581,0.11962608612165876,0.4706248576923935,0.1626173971483887,2.220446049250313e-16,2.220446049250313e-16,0.13731066082569965,0.8641318041359943,0.7909892680936328,0.7909892680936339,True,True,,
1032,43.49590447769812,71.03675336906716,0.5650409552230188,0.28963246630932854,0.07249317412949687,0.11839458894844526,0.49254778109352193,0.17123787736088328,2.220446049250313e-16,2.220446049250313e-16,0.1288040665404988,0.8410088052425192,0.8269925988644564,0.8269925988644595,True,True,,
1033,45.595502367837724,68.45246063887133,0.5440449763216226,0.31547539361128674,0.0759925039463962,0.11408743439811889,0.4680524723752264,0.20138795921316785,1.1102230246251565e-16,0.0,0.20932888701403835,0.7134269241875606,0.6222674855164618,0.6222674855164622,True,True,,
1034,40.73675541936399,68.07726851102609,0.5926324458063601,0.31922731488973904,0.06789459236560665,0.11346211418504348,0.5247378534407534,0.20576520070469556,2.220446049250313e-16,2.220446049250313e-16,0.15469678242982127,0.7506814488273685,0.5306615594034333,0.5306615594034332,True,True,,
