horizon,response,impulse,irf
0,dlog_SOLVPN,dlog_SOLVPN,1.0
0,dlog_SOLVPN,dlog_COPPER,0.0
0,dlog_SOLVPN,dlog_DXY,0.0
0,dlog_SOLVPN,d_UST10Y,0.0
0,dlog_SOLVPN,dlog_VIX,0.0
0,dlog_COPPER,dlog_SOLVPN,0.0
0,dlog_COPPER,dlog_COPPER,1.0
0,dlog_COPPER,dlog_DXY,0.0
0,dlog_COPPER,d_UST10Y,0.0
0,dlog_COPPER,dlog_VIX,0.0
0,dlog_DXY,dlog_SOLVPN,0.0
0,dlog_DXY,dlog_COPPER,0.0
0,dlog_DXY,dlog_DXY,1.0
0,dlog_DXY,d_UST10Y,0.0
0,dlog_DXY,dlog_VIX,0.0
0,d_UST10Y,dlog_SOLVPN,0.0
0,d_UST10Y,dlog_COPPER,0.0
0,d_UST10Y,dlog_DXY,0.0
0,d_UST10Y,d_UST10Y,1.0
0,d_UST10Y,dlog_VIX,0.0
0,dlog_VIX,dlog_SOLVPN,0.0
0,dlog_VIX,dlog_COPPER,0.0
0,dlog_VIX,dlog_DXY,0.0
0,dlog_VIX,d_UST10Y,0.0
0,dlog_VIX,dlog_VIX,1.0
1,dlog_SOLVPN,dlog_SOLVPN,0.06166266266153673
1,dlog_SOLVPN,dlog_COPPER,0.002043046997921797
1,dlog_SOLVPN,dlog_DXY,0.0071771440633996925
1,dlog_SOLVPN,d_UST10Y,-0.012987540088034391
1,dlog_SOLVPN,dlog_VIX,-0.010116533512029546
1,dlog_COPPER,dlog_SOLVPN,0.03590291423792854
1,dlog_COPPER,dlog_COPPER,-0.07568002288845879
1,dlog_COPPER,dlog_DXY,-0.1575171402356756
1,dlog_COPPER,d_UST10Y,-0.004749991401956342
1,dlog_COPPER,dlog_VIX,-0.02294331854467087
1,dlog_DXY,dlog_SOLVPN,-0.016821748549306396
1,dlog_DXY,dlog_COPPER,0.0046546855162902315
1,dlog_DXY,dlog_DXY,-0.050052236301363975
1,dlog_DXY,d_UST10Y,0.007148898880913265
1,dlog_DXY,dlog_VIX,0.004224283340173468
1,d_UST10Y,dlog_SOLVPN,-0.23482118466783483
1,d_UST10Y,dlog_COPPER,0.12047070917780978
1,d_UST10Y,dlog_DXY,0.6383129303976918
1,d_UST10Y,d_UST10Y,-0.03683163555366531
1,d_UST10Y,dlog_VIX,0.021375857494328798
1,dlog_VIX,dlog_SOLVPN,0.17524263721282143
1,dlog_VIX,dlog_COPPER,-0.02594618011918065
1,dlog_VIX,dlog_DXY,-0.4758110040957064
1,dlog_VIX,d_UST10Y,0.018842708216138565
1,dlog_VIX,dlog_VIX,-0.043547704226163546
2,dlog_SOLVPN,dlog_SOLVPN,0.0050318047322175504
2,dlog_SOLVPN,dlog_COPPER,-0.001297363541406058
2,dlog_SOLVPN,dlog_DXY,-0.003715042021779357
2,dlog_SOLVPN,d_UST10Y,-0.0004715126276274389
2,dlog_SOLVPN,dlog_VIX,-0.00047743637818218986
2,dlog_COPPER,dlog_SOLVPN,-0.0007587993968315033
2,dlog_COPPER,dlog_COPPER,0.005090681097035222
2,dlog_COPPER,dlog_DXY,0.02794736879361402
2,dlog_COPPER,d_UST10Y,-0.0014902494921250526
2,dlog_COPPER,dlog_VIX,0.001605334516883508
2,dlog_DXY,dlog_SOLVPN,-0.0009666292493055954
2,dlog_DXY,dlog_COPPER,0.00013201715295070362
2,dlog_DXY,dlog_DXY,0.0042045755909282875
2,dlog_DXY,d_UST10Y,-0.00034516365841888463
2,dlog_DXY,dlog_VIX,-0.0001791949752874134
2,d_UST10Y,dlog_SOLVPN,-0.008497179633125409
2,d_UST10Y,dlog_COPPER,-0.01161758589644514
2,d_UST10Y,dlog_DXY,-0.08629151412921619
2,d_UST10Y,d_UST10Y,0.008800097733596997
2,d_UST10Y,dlog_VIX,0.000589815893132156
2,dlog_VIX,dlog_SOLVPN,0.005822275611821621
2,dlog_VIX,dlog_COPPER,0.0035067768591550224
2,dlog_VIX,dlog_DXY,0.061908135729512925
2,dlog_VIX,d_UST10Y,-0.007068815844237854
2,dlog_VIX,dlog_VIX,-0.0008883354452760598
3,dlog_SOLVPN,dlog_SOLVPN,0.0003532427923507511
3,dlog_SOLVPN,dlog_COPPER,4.675655339655647e-05
3,dlog_SOLVPN,dlog_DXY,0.00035261401892822884
3,dlog_SOLVPN,d_UST10Y,-7.737637286612244e-05
3,dlog_SOLVPN,dlog_VIX,-2.6119714872445e-05
3,dlog_COPPER,dlog_SOLVPN,0.0002971222906828742
3,dlog_COPPER,dlog_COPPER,-0.0004779106237239081
3,dlog_COPPER,dlog_DXY,-0.003921225196432267
3,dlog_COPPER,d_UST10Y,0.0002706043357061605
3,dlog_COPPER,dlog_VIX,-9.282708759506754e-05
3,dlog_DXY,dlog_SOLVPN,-7.594430701597414e-05
3,dlog_DXY,dlog_COPPER,-2.932763864450524e-05
3,dlog_DXY,dlog_DXY,-0.00037324049794883917
3,dlog_DXY,d_UST10Y,5.132156496101417e-05
3,dlog_DXY,dlog_VIX,2.4936704830105572e-05
3,d_UST10Y,dlog_SOLVPN,-0.001452578241176596
3,d_UST10Y,dlog_COPPER,0.001505049713615433
3,d_UST10Y,dlog_DXY,0.011424641960264416
3,d_UST10Y,d_UST10Y,-0.0007643566783355659
3,d_UST10Y,dlog_VIX,0.0001504126779515989
3,dlog_VIX,dlog_SOLVPN,0.0009477508979847376
3,dlog_VIX,dlog_COPPER,-0.0007938712138683578
3,dlog_VIX,dlog_DXY,-0.007698667565752866
3,dlog_VIX,d_UST10Y,0.0005939182077720107
3,dlog_VIX,dlog_VIX,9.742130579856673e-06
4,dlog_SOLVPN,dlog_SOLVPN,3.112132713185906e-05
4,dlog_SOLVPN,dlog_COPPER,-9.819417724087315e-06
4,dlog_SOLVPN,dlog_DXY,-5.9441095914380105e-05
4,dlog_SOLVPN,d_UST10Y,6.868601206632338e-08
4,dlog_SOLVPN,dlog_VIX,-3.67333422173457e-06
4,dlog_COPPER,dlog_SOLVPN,-1.2686062619483409e-05
4,dlog_COPPER,dlog_COPPER,5.3531656181904534e-05
4,dlog_COPPER,dlog_DXY,0.0004905760906034157
4,dlog_COPPER,d_UST10Y,-4.1337172724362605e-05
4,dlog_COPPER,dlog_VIX,1.2214480669269968e-06
4,dlog_DXY,dlog_SOLVPN,-7.138734840058725e-06
4,dlog_DXY,dlog_COPPER,5.862774527394601e-06
4,dlog_DXY,dlog_DXY,4.365012409628277e-05
4,dlog_DXY,d_UST10Y,-2.9630049385711088e-06
4,dlog_DXY,dlog_VIX,-1.2440092212848893e-07
4,d_UST10Y,dlog_SOLVPN,-2.1870770534820152e-05
4,d_UST10Y,dlog_COPPER,-0.00015967699246654344
4,d_UST10Y,dlog_DXY,-0.0013787921276974377
4,d_UST10Y,d_UST10Y,0.00012437674387578212
4,d_UST10Y,dlog_VIX,5.5362399086141505e-06
4,dlog_VIX,dlog_SOLVPN,2.1686263267985932e-05
4,dlog_VIX,dlog_COPPER,9.747859145904642e-05
4,dlog_VIX,dlog_DXY,0.0008916562549479941
4,dlog_VIX,d_UST10Y,-8.526647813967096e-05
4,dlog_VIX,dlog_VIX,-1.1624003165238682e-05
5,dlog_SOLVPN,dlog_SOLVPN,1.9065276459593632e-06
5,dlog_SOLVPN,dlog_COPPER,6.336201277925702e-07
5,dlog_SOLVPN,dlog_DXY,6.5369046397279075e-06
5,dlog_SOLVPN,d_UST10Y,-8.542311011033519e-07
5,dlog_SOLVPN,dlog_VIX,-1.7921245667640805e-07
5,dlog_COPPER,dlog_SOLVPN,2.808232071092975e-06
5,dlog_COPPER,dlog_COPPER,-6.8053281887441134e-06
5,dlog_COPPER,dlog_DXY,-6.004486379077059e-05
5,dlog_COPPER,d_UST10Y,4.963095775479798e-06
5,dlog_COPPER,dlog_VIX,3.566877172332587e-08
5,dlog_DXY,dlog_SOLVPN,-2.899981347266193e-07
5,dlog_DXY,dlog_COPPER,-6.088296583062759e-07
5,dlog_DXY,dlog_DXY,-4.99164256908405e-06
5,dlog_DXY,d_UST10Y,4.837050673836944e-07
5,dlog_DXY,dlog_VIX,6.417884196220713e-08
5,d_UST10Y,dlog_SOLVPN,-1.2123893898254324e-05
5,d_UST10Y,dlog_COPPER,2.0461941947866995e-05
5,d_UST10Y,dlog_DXY,0.00017076360291667128
5,d_UST10Y,d_UST10Y,-1.3291014796896549e-05
5,d_UST10Y,dlog_VIX,4.77936885501658e-07
5,dlog_VIX,dlog_SOLVPN,7.82313537188488e-06
5,dlog_VIX,dlog_COPPER,-1.3153011133022704e-05
5,dlog_VIX,dlog_DXY,-0.00010872416000576604
5,dlog_VIX,d_UST10Y,8.551162866137975e-06
5,dlog_VIX,dlog_VIX,-5.708955286837412e-09
6,dlog_SOLVPN,dlog_SOLVPN,1.9953410966678655e-07
6,dlog_SOLVPN,dlog_COPPER,-1.1188997271362099e-07
6,dlog_SOLVPN,dlog_DXY,-8.733048010813556e-07
6,dlog_SOLVPN,d_UST10Y,4.7046756438217266e-08
6,dlog_SOLVPN,dlog_VIX,-1.6666693111733914e-08
6,dlog_COPPER,dlog_SOLVPN,-2.202977870757822e-07
6,dlog_COPPER,dlog_COPPER,8.382569847891027e-07
6,dlog_COPPER,dlog_DXY,7.248527246135137e-06
6,dlog_COPPER,d_UST10Y,-6.155282743366246e-07
6,dlog_COPPER,dlog_VIX,-2.1382144289477797e-08
6,dlog_DXY,dlog_SOLVPN,-5.810998745080623e-08
6,dlog_DXY,dlog_COPPER,7.885633299564414e-08
6,dlog_DXY,dlog_DXY,6.218808214499218e-07
6,dlog_DXY,d_UST10Y,-4.563279549820979e-08
6,dlog_DXY,dlog_VIX,3.361005456000144e-09
6,d_UST10Y,dlog_SOLVPN,3.1927613794713514e-07
6,d_UST10Y,dlog_COPPER,-2.392057665574791e-06
6,d_UST10Y,dlog_DXY,-2.0568455949622113e-05
6,d_UST10Y,d_UST10Y,1.7795726779155683e-06
6,d_UST10Y,dlog_VIX,6.962087729232063e-08
6,dlog_VIX,dlog_SOLVPN,-1.699002393301216e-07
6,dlog_VIX,dlog_COPPER,1.535639224346275e-06
6,dlog_VIX,dlog_DXY,1.3030894028168968e-05
6,dlog_VIX,d_UST10Y,-1.1314455066825554e-06
6,dlog_VIX,dlog_VIX,-5.361389396535371e-08
7,dlog_SOLVPN,dlog_SOLVPN,9.00885183400616e-09
7,dlog_SOLVPN,dlog_COPPER,1.0910727184889362e-08
7,dlog_SOLVPN,dlog_DXY,1.0072828079261179e-07
7,dlog_SOLVPN,d_UST10Y,-1.03500031773663e-08
7,dlog_SOLVPN,dlog_VIX,-1.4090921601636077e-09
7,dlog_COPPER,dlog_SOLVPN,3.5370833039130145e-08
7,dlog_COPPER,dlog_COPPER,-1.037481145020209e-07
7,dlog_COPPER,dlog_DXY,-8.791517475320311e-07
7,dlog_COPPER,d_UST10Y,7.296641675619977e-08
7,dlog_COPPER,dlog_VIX,1.3897844271980417e-09
7,dlog_DXY,dlog_SOLVPN,9.137135953906609e-11
7,dlog_DXY,dlog_COPPER,-8.776531357337526e-09
7,dlog_DXY,dlog_DXY,-7.469202043839209e-08
7,dlog_DXY,d_UST10Y,6.5699629345434355e-09
7,dlog_DXY,dlog_VIX,2.8384225673229223e-10
7,d_UST10Y,dlog_SOLVPN,-1.25877848686039e-07
7,d_UST10Y,dlog_COPPER,2.985235677548554e-07
7,d_UST10Y,dlog_DXY,2.5113766625083727e-06
7,d_UST10Y,d_UST10Y,-2.0405889645432016e-07
7,d_UST10Y,dlog_VIX,-2.2714996007762277e-10
7,dlog_VIX,dlog_SOLVPN,8.174693361021821e-08
7,dlog_VIX,dlog_COPPER,-1.908245789599979e-07
7,dlog_VIX,dlog_DXY,-1.592040500897488e-06
7,dlog_VIX,d_UST10Y,1.2873161438303525e-07
7,dlog_VIX,dlog_VIX,-3.1852579485159715e-10
8,dlog_SOLVPN,dlog_SOLVPN,1.4362778639053888e-09
8,dlog_SOLVPN,dlog_COPPER,-1.5487717694795545e-09
8,dlog_SOLVPN,dlog_DXY,-1.2631723731238148e-08
8,dlog_SOLVPN,d_UST10Y,9.059240417604089e-10
8,dlog_SOLVPN,dlog_VIX,-7.583930677102538e-11
8,dlog_COPPER,dlog_SOLVPN,-3.645441213374588e-09
8,dlog_COPPER,dlog_COPPER,1.2586005424251479e-08
8,dlog_COPPER,dlog_DXY,1.0651361145428378e-07
8,dlog_COPPER,d_UST10Y,-8.912829571449953e-09
8,dlog_COPPER,dlog_VIX,-1.9209245366527577e-10
8,dlog_DXY,dlog_SOLVPN,-5.46043678745559e-10
8,dlog_DXY,dlog_COPPER,1.1008503759471062e-09
8,dlog_DXY,dlog_DXY,9.180249586987984e-09
8,dlog_DXY,d_UST10Y,-7.300980656169067e-10
8,dlog_DXY,dlog_VIX,1.299604843483301e-11
8,d_UST10Y,dlog_SOLVPN,8.587701451071393e-09
8,d_UST10Y,dlog_COPPER,-3.573700252048264e-08
8,d_UST10Y,dlog_DXY,-3.037713920125976e-07
8,d_UST10Y,d_UST10Y,2.568197982331596e-08
8,d_UST10Y,dlog_VIX,6.810507311166787e-10
8,dlog_VIX,dlog_SOLVPN,-5.314249409595681e-09
8,dlog_VIX,dlog_COPPER,2.2714826875774257e-08
8,dlog_VIX,dlog_DXY,1.9265265092592e-07
8,dlog_VIX,d_UST10Y,-1.628401081703195e-08
8,dlog_VIX,dlog_VIX,-4.084569457949283e-10
9,dlog_SOLVPN,dlog_SOLVPN,1.9426540919476796e-11
9,dlog_SOLVPN,dlog_COPPER,1.724538167293702e-10
9,dlog_SOLVPN,dlog_DXY,1.5008607007584174e-09
9,dlog_SOLVPN,d_UST10Y,-1.363956614668845e-10
9,dlog_SOLVPN,dlog_VIX,-9.688638280826472e-12
9,dlog_COPPER,dlog_SOLVPN,4.945998831311444e-10
9,dlog_COPPER,dlog_COPPER,-1.5329204556358794e-09
9,dlog_COPPER,dlog_DXY,-1.2937694546633058e-08
9,dlog_COPPER,d_UST10Y,1.0736714825473032e-09
9,dlog_COPPER,dlog_VIX,1.5903981481461062e-11
9,dlog_DXY,dlog_SOLVPN,2.5145333796204973e-11
9,dlog_DXY,dlog_COPPER,-1.2998942930630202e-10
9,dlog_DXY,dlog_DXY,-1.1090285574239119e-09
9,dlog_DXY,d_UST10Y,9.462699696571771e-11
9,dlog_DXY,dlog_VIX,2.8744634377727856e-12
9,d_UST10Y,dlog_SOLVPN,-1.5548798266192992e-09
9,d_UST10Y,dlog_COPPER,4.3844176051845585e-09
9,d_UST10Y,dlog_DXY,3.696435146994063e-08
9,d_UST10Y,d_UST10Y,-3.04649010751034e-09
9,d_UST10Y,dlog_VIX,-3.085262228830136e-11
9,dlog_VIX,dlog_SOLVPN,9.993349002043029e-10
9,dlog_VIX,dlog_COPPER,-2.7843268091290976e-09
9,dlog_VIX,dlog_DXY,-2.3458758065989092e-08
9,dlog_VIX,d_UST10Y,1.9304484322137615e-09
9,dlog_VIX,dlog_VIX,1.613032489575267e-11
10,dlog_SOLVPN,dlog_SOLVPN,1.2473113801616015e-11
10,dlog_SOLVPN,dlog_COPPER,-2.2205883807133986e-11
10,dlog_SOLVPN,dlog_DXY,-1.8459959305663453e-10
10,dlog_SOLVPN,d_UST10Y,1.4499159368508017e-11
10,dlog_SOLVPN,dlog_VIX,-3.0678751771919177e-13
10,dlog_COPPER,dlog_SOLVPN,-5.623707525394931e-11
10,dlog_COPPER,dlog_COPPER,1.8573436391304752e-10
10,dlog_COPPER,dlog_DXY,1.570342706549841e-09
10,dlog_COPPER,d_UST10Y,-1.308779495585879e-10
10,dlog_COPPER,dlog_VIX,-2.227774783958449e-12
10,dlog_DXY,dlog_SOLVPN,-6.177366545491564e-12
10,dlog_DXY,dlog_COPPER,1.6051997006213394e-11
10,dlog_DXY,dlog_DXY,1.3519932866287396e-10
10,dlog_DXY,d_UST10Y,-1.1068564762166923e-11
10,dlog_DXY,dlog_VIX,-5.928866825004474e-14
10,d_UST10Y,dlog_SOLVPN,1.4970403454830965e-10
10,d_UST10Y,dlog_COPPER,-5.291444019285498e-10
10,d_UST10Y,dlog_DXY,-4.481862984547203e-09
10,d_UST10Y,d_UST10Y,3.7524839540841097e-10
10,d_UST10Y,dlog_VIX,7.50702069333639e-12
