Date,Magnitude,Top1_DeltaS,Top2_DeltaS,Top3_DeltaS,Peak,PeakHorizon,HalfLife,DurationAboveHalf,AUC
2020-10-22,-0.8141250364016531,2.019920524328356,-0.3702479302244387,0.0727504343273959,1.8309100072717617,0.6755908254242589,-0.338147504579244,0.13738639634172684,0.4880233717222974
2020-10-28,-0.10012126844337133,0.01760009584911403,0.4151970875131462,0.3187191354504179,1.9624940824369501,0.21986683667653398,-0.338147504579244,-0.020816120657837434,0.4697276964549345
2020-11-04,-0.673372580914065,-0.6288943218437488,-0.32723691412208217,-0.26263888786087736,1.8930405004158288,-0.3877651483204325,0.5583365773285189,-0.337221154656966,0.11501148753417036
2020-11-09,2.604056625613169,0.39747809987375565,1.0087176211128697,1.8184427497341051,0.46797117020043577,-0.6915811408189158,-0.03931947727665632,-0.49542367165653023,0.6871823361431904
2021-02-01,-0.6399773714191438,-0.5994922886215764,-0.42980884521225476,-0.5714891728860928,-0.7881056027208232,-0.5396731445696742,-0.338147504579244,-0.6536261886560946,-0.6626126690558599
2021-06-17,0.3010496154991345,-0.7019052179521242,-0.5551641560371726,-0.1042891964033991,-0.35559724390732494,-0.6915811408189158,-0.6369755318818315,-1.1282337396547872,-0.5702896398101509
2022-03-01,-0.19540511090942106,-1.067502827865904,-0.9212072655652384,-0.5797827830154195,0.04299709002113444,-0.5396731445696742,-0.03931947727665632,0.9283989813395482,-0.14009327856383558
2022-03-02,1.983319063424696,1.3404658833545722,0.4350306818951098,0.9487955471629381,0.1638888031089966,2.3465787841659167,-0.338147504579244,1.877614083336934,1.5753163702768365
2022-03-07,-1.012992018229661,-1.009236126771296,-0.5886726372765201,-0.4116348378674475,-1.4967070872440664,-0.6915811408189158,-0.6369755318818315,-0.1790186376574017,-0.8903960036967367
2022-06-13,-0.45681717170968095,-0.7372885954517038,-0.8188316260673604,-0.4898526771720472,-0.07699093286257316,-0.6915811408189158,-0.6369755318818315,-0.337221154656966,-0.06148190498971511
2022-07-28,-0.8931845677163529,-0.506584749797219,-0.9525434199259504,-0.7424116282074178,-0.5557237905694115,-0.6915811408189158,-0.6369755318818315,-0.6536261886560946,-0.6268434517632441
2022-09-13,0.01614421314294745,-0.9623419002859754,-0.5534003836219896,-0.4118193923329729,-1.1239370598286877,1.7389467991689502,1.1559926319336942,1.5612090493378052,0.07167631234883531
2022-11-10,-0.7495064317047012,-0.557909117499061,-0.9891870296684749,-0.6948061239664185,-0.42455870572255416,-0.5396731445696742,-0.338147504579244,-0.337221154656966,-0.2972907832308076
2022-11-17,-0.3867970226771114,0.6984193484128041,-0.1898971645153274,0.3167180302231724,-0.5555883697845637,1.890854795418192,-0.6369755318818315,-0.1790186376574017,-0.2126294549687914
2022-12-15,-0.49163095719278116,0.6603187932281568,-0.07836548713126776,0.20190702021419074,-0.954403934498254,2.0427627916674336,3.2477888230518075,1.7194115663373695,0.14212494318454313
2022-12-20,0.12005699939868103,0.2692387036246981,0.4872121791040026,0.6096588690795572,-0.3711978077263152,-0.6915811408189158,-0.6369755318818315,-0.970031222655223,-0.6808395056392276
2023-01-03,-0.8685410503809765,-1.0382610938535852,-1.1321878784771082,-1.144088224781678,-1.3037922523297694,-0.6915811408189158,-0.338147504579244,-0.020816120657837434,-0.6765938489321892
2023-05-11,-0.748101479173573,-0.30883764304329286,-0.7797228895842322,-0.6266051409258598,-0.6199636458367033,-0.6915811408189158,-0.6369755318818315,-0.970031222655223,-0.8353423366750322
2023-10-02,0.41875023910649073,-0.2698130730602714,0.10455803875582985,-0.41353017301682293,0.17292041639217828,-0.6915811408189158,-0.338147504579244,-0.49542367165653023,-0.410343386775242
2023-10-16,-0.8489489812433746,-0.5484325304194257,-0.9619308916562387,-0.8580931882283767,-0.6509808499876957,-0.5396731445696742,-0.338147504579244,-0.49542367165653023,-0.6866669977976974
2024-02-15,0.41152236280191956,0.41764325312774575,0.04427793260175123,0.0035572096352058853,-0.049624048268445915,-0.6915811408189158,-0.338147504579244,-0.970031222655223,-0.7195009203812291
2024-04-10,-0.7352370818352273,1.0029001834771927,0.8268953537671107,0.1375537375025153,-0.4159320940247337,0.9794068179227421,-0.6369755318818315,-0.49542367165653023,-0.39410952706741975
2024-04-30,-0.7028949996785634,-1.0886702590434578,-1.0687024670034264,-0.9880894859626084,-0.6260766704274214,-0.6915811408189158,-0.6369755318818315,-0.49542367165653023,-0.729650425278537
2024-08-05,1.296937670785869,0.6236955378236466,1.2582767201910923,1.3583091103145466,0.11247787260086159,-0.6915811408189158,-0.338147504579244,-0.970031222655223,-0.161372127736908
2024-11-06,0.48921514526042087,-1.5315236169946,-1.1786351764800347,-0.8840203322344965,0.3659581090387413,-0.5396731445696742,-0.338147504579244,-0.970031222655223,-0.8296059736351714
2024-12-18,0.9887924862652528,1.1400729519357318,1.3599928693460597,0.9699723447052339,0.8073767299827322,-0.6915811408189158,-0.338147504579244,-0.337221154656966,0.2780169751254874
2025-01-13,-0.5022040165284787,0.10221981879166574,0.4589998863494541,0.7940132771163317,-0.3128778813774031,-0.6915811408189158,-0.6369755318818315,-0.337221154656966,-0.10652329239609742
2025-02-03,-0.7053179767625755,-0.44317230507060074,-0.4562778781029639,-1.018830401386037,-0.7778688166619739,-0.6915811408189158,-0.6369755318818315,-0.337221154656966,-0.6393828676251204
2025-04-03,1.0913206186719426,-0.4520552997351283,-0.06624142093005908,0.31102584572713154,1.152037672744945,-0.5396731445696742,0.5583365773285189,-0.337221154656966,0.8457082528270821
2025-04-08,-0.04066940255932934,-0.9503121509923235,-0.6864813701210207,-0.8631821024817502,0.9606650899010866,1.7389467991689502,-0.338147504579244,1.877614083336934,2.7598081296564123
2025-07-08,1.9755700630741646,1.482633157053304,1.7355268122851384,1.4647282934793333,1.99377107212449,1.435130806670467,-0.338147504579244,-0.6536261886560946,0.3840740030926264
2025-07-09,0.5061804580868472,-0.4134034488088953,-0.06667871472844021,0.23008932313332467,1.555764519685465,1.890854795418192,2.94896079574922,1.877614083336934,3.930312961407052
2025-07-31,2.5208598484089126,2.6396219337253286,3.4808818014244456,4.024828251426721,1.8056724562143747,-0.6915811408189158,-0.338147504579244,-0.970031222655223,-0.07524355529169556
2025-09-02,-1.0064390974198127,1.959170332739819,1.6216037969750061,-1.0762923091165881,-1.1332005137803443,0.3717748329257756,1.4548206592362818,1.5612090493378052,-0.276712246797871
2025-11-13,-0.613564103092558,0.022184989214139927,-0.21357507205044965,-0.18715484644165611,-0.6106417313997812,-0.3877651483204325,-0.03931947727665632,-0.020816120657837434,-0.48272141934718216
2025-11-17,0.1453224231470877,-0.848920853236749,-0.6413934376583619,-0.3010183039202246,-0.3808323895911909,0.5236828291750173,0.2595085500259313,1.877614083336934,0.8435140497761318
2025-11-24,-0.9508547118272634,-0.8890286253996624,-0.5122878843839821,-0.445539139754917,-1.0710420837923156,-0.08394915582194928,2.6501327684466323,1.7194115663373695,-0.08047396509344525
2025-12-29,-0.7323953948678628,0.760002439186583,1.3015071592233942,-0.5059008312690048,-0.6323020797976121,-0.6915811408189158,-0.6369755318818315,-0.970031222655223,-1.3437773070003969
