break_idx,break_date,F_stat
198,2021-07-27,2.003033912411383
199,2021-07-28,1.978621667477587
200,2021-07-29,1.9274461195489587
201,2021-07-30,1.8708312631095245
202,2021-08-02,1.8908007922457302
203,2021-08-03,1.890905247650969
204,2021-08-04,1.8932650038557541
205,2021-08-05,1.9168592429728555
206,2021-08-06,1.9089645714176773
207,2021-08-09,1.9005568971896512
208,2021-08-10,1.8701216919636114
209,2021-08-11,1.9611109806400728
210,2021-08-12,1.9606279234418247
211,2021-08-13,1.9581565445733913
212,2021-08-16,1.9620313125653657
213,2021-08-17,1.9655530781468356
214,2021-08-18,2.0372569233653026
215,2021-08-19,1.9694920653769095
216,2021-08-20,2.069567019595003
217,2021-08-23,2.097592746201182
218,2021-08-24,2.1811007729189043
219,2021-08-25,2.2220565060515227
220,2021-08-26,2.2017270311189794
221,2021-08-27,2.196317268882265
222,2021-08-30,2.2355261661606147
223,2021-08-31,2.188829413227294
224,2021-09-01,2.184812196323301
225,2021-09-02,2.23620430977751
226,2021-09-03,2.2407570040296836
227,2021-09-07,2.245194706928722
228,2021-09-08,2.247812588181678
229,2021-09-09,2.2680533661443705
230,2021-09-10,2.3693269930208083
231,2021-09-13,2.629158352464224
232,2021-09-14,2.6283223136140585
233,2021-09-15,2.6345962875318443
234,2021-09-16,2.692238046459946
235,2021-09-17,2.7569042864168907
236,2021-09-20,2.7593352717521373
237,2021-09-21,2.731237044431024
238,2021-09-22,2.727682394468772
239,2021-09-23,2.5009270524708693
240,2021-09-24,2.0282066082808345
241,2021-09-27,2.0803726611148963
242,2021-09-28,2.1025529313551603
243,2021-09-29,2.103613532836865
244,2021-09-30,2.1239577178977362
245,2021-10-01,2.040452931189612
246,2021-10-04,2.102269754728428
247,2021-10-05,2.167499583958311
248,2021-10-06,2.099717781603801
249,2021-10-07,2.1372991862484856
250,2021-10-08,2.2042087645821145
251,2021-10-11,2.229226081176773
252,2021-10-12,2.2378164800468134
253,2021-10-13,2.2641359408697004
254,2021-10-14,2.4433899188464774
255,2021-10-15,2.420347749891651
256,2021-10-18,2.5078216372261024
257,2021-10-19,2.4983944572652397
258,2021-10-20,2.4432398161784348
259,2021-10-21,2.4439274806584366
260,2021-10-22,2.5589354407542664
261,2021-10-25,2.581477937606895
262,2021-10-26,2.5695990463888863
263,2021-10-27,2.5886818487534375
264,2021-10-28,2.5458756402980294
265,2021-10-29,2.5284430622542637
266,2021-11-01,2.5470343930909425
267,2021-11-02,2.546613307534181
268,2021-11-03,2.5571332948670293
269,2021-11-04,2.409214819511944
270,2021-11-05,2.320508115125885
271,2021-11-08,2.3207136750476534
272,2021-11-09,2.3484282675402155
273,2021-11-10,2.3576600020046694
274,2021-11-11,2.3580213823011293
275,2021-11-12,2.2998749222966106
276,2021-11-15,2.3001394692168926
277,2021-11-16,2.324972953086159
278,2021-11-17,2.34888090925022
279,2021-11-18,2.377716883239804
280,2021-11-19,2.400099086776184
281,2021-11-22,2.1783423891072227
282,2021-11-23,2.1828055696604887
283,2021-11-24,2.1936278821522897
284,2021-11-25,2.089752802160068
285,2021-11-26,2.090937559426031
286,2021-11-29,2.1331995752788115
287,2021-11-30,2.143070763035547
288,2021-12-01,2.136116591096259
289,2021-12-02,2.1371613347049503
290,2021-12-03,2.1673319838837224
291,2021-12-06,2.1721491585445123
292,2021-12-07,2.278022790231974
293,2021-12-08,2.2301488520596306
294,2021-12-09,2.215730383546271
295,2021-12-10,2.2262770429669785
296,2021-12-13,2.114848302037985
297,2021-12-14,2.0423678841780037
298,2021-12-15,2.0374807885567714
299,2021-12-16,1.9598199995124883
300,2021-12-17,1.9879072715247523
301,2021-12-20,1.9417316640594438
302,2021-12-21,1.94163304075033
303,2021-12-22,1.967053439888795
304,2021-12-23,1.9663498267991222
305,2021-12-27,1.9412274018187488
306,2021-12-28,1.854176581472631
307,2021-12-29,1.8512371861083061
308,2021-12-30,1.731860471962283
309,2021-12-31,1.7373299875842292
310,2022-01-03,1.782503228589174
311,2022-01-04,1.745746678328622
312,2022-01-05,1.8504084641399292
313,2022-01-06,1.709020739113295
314,2022-01-07,1.676153822618087
315,2022-01-10,1.6766767431254446
316,2022-01-11,1.680107413155003
317,2022-01-12,1.7507846181490925
318,2022-01-13,1.9300827168501065
319,2022-01-14,1.929080480286934
320,2022-01-18,1.7899634045983217
321,2022-01-19,1.7829754789921535
322,2022-01-20,1.8692180780310141
323,2022-01-21,1.8043719217007999
324,2022-01-24,1.7877290222505295
325,2022-01-25,1.8511695825316656
326,2022-01-26,1.8966174553291821
327,2022-01-27,1.982259114393387
328,2022-01-28,1.9834991308469314
329,2022-01-31,2.19890490796968
330,2022-02-01,2.1691618333975007
331,2022-02-02,2.2801129665049964
332,2022-02-03,2.3160383062536285
333,2022-02-04,2.144688302446804
334,2022-02-07,2.146837826394933
335,2022-02-08,2.116159150323421
336,2022-02-09,2.1132005597578347
337,2022-02-10,1.9547991643608038
338,2022-02-11,2.0792200683734197
339,2022-02-14,2.1466080757647146
340,2022-02-15,2.155443589482262
341,2022-02-16,2.1228153548057693
342,2022-02-17,2.0837353457902217
343,2022-02-18,2.061186216013979
344,2022-02-22,2.060659235620548
345,2022-02-23,2.0539217457570396
346,2022-02-24,2.0396356186951836
347,2022-02-25,1.9508836726122403
348,2022-02-28,1.934668578654882
349,2022-03-01,1.9190172443960727
350,2022-03-02,1.4119866722090888
351,2022-03-03,1.430728849272383
352,2022-03-04,1.3616189734643307
353,2022-03-07,1.1460712265414135
354,2022-03-08,1.02877465990672
355,2022-03-09,0.9509889965643801
356,2022-03-10,0.9369052931024134
357,2022-03-11,1.0268443562008436
358,2022-03-14,1.0492602577933279
359,2022-03-15,0.92436364669996
360,2022-03-16,0.9232745484622528
361,2022-03-17,0.8886600697051068
362,2022-03-18,0.8893850338632355
363,2022-03-21,0.889406717664535
364,2022-03-22,0.8900290081144321
365,2022-03-23,0.8942151288906952
366,2022-03-24,1.0125482592582593
367,2022-03-25,1.037665728310095
368,2022-03-28,1.0364425922277871
369,2022-03-29,1.0364993610382247
370,2022-03-30,1.0457130223229703
371,2022-03-31,1.0391834395650128
372,2022-04-01,1.0829932231566028
373,2022-04-04,1.1403280004599887
374,2022-04-05,1.1438887651767586
375,2022-04-06,1.0845192636736272
376,2022-04-07,1.0979943175498157
377,2022-04-08,1.0704120975268534
378,2022-04-11,1.0758106889280086
379,2022-04-12,1.085244733396813
380,2022-04-13,1.22037269656096
381,2022-04-14,1.193249057262969
382,2022-04-18,1.1890744579823427
383,2022-04-19,1.252858455310686
384,2022-04-20,1.3874071483038106
385,2022-04-21,1.2871994675951417
386,2022-04-22,1.3216358696273234
387,2022-04-25,1.3198596158785583
388,2022-04-26,1.1648889969660927
389,2022-04-27,1.2504847283517686
390,2022-04-28,1.2660560501437632
391,2022-04-29,1.2804385729813308
392,2022-05-02,1.2321273659417697
393,2022-05-03,1.1128828509662434
394,2022-05-04,1.117082712048442
395,2022-05-05,1.1095248920393774
396,2022-05-06,1.1214636582733197
397,2022-05-09,1.118054019557759
398,2022-05-10,0.9890472407560892
399,2022-05-11,0.9351278373757698
400,2022-05-12,0.9692962882212481
401,2022-05-13,0.901462530684032
402,2022-05-16,0.848148248022912
403,2022-05-17,0.8387910612548123
404,2022-05-18,0.8604461993691984
405,2022-05-19,0.8641202041578512
406,2022-05-20,0.880993637672838
407,2022-05-23,0.8788073462875079
408,2022-05-24,0.8860316135571311
409,2022-05-25,0.860050520918173
410,2022-05-26,0.8565825988889031
411,2022-05-27,0.8490504830008784
412,2022-05-30,0.8314348733549002
413,2022-05-31,0.8322035488595635
414,2022-06-01,0.8214837630680042
415,2022-06-02,0.852454163782172
416,2022-06-03,0.813951927080721
417,2022-06-06,0.7725848205514543
418,2022-06-07,0.8025174492618671
419,2022-06-08,0.7959975001051981
420,2022-06-09,0.8015681549849736
421,2022-06-10,0.7880388064305195
422,2022-06-13,0.7766092588461945
423,2022-06-14,0.772337600657959
424,2022-06-15,0.7639607101364871
425,2022-06-16,0.7432323556814587
426,2022-06-17,0.5291597287181045
427,2022-06-20,0.5462862050378333
428,2022-06-21,0.5479720060781318
429,2022-06-22,0.543844824833293
430,2022-06-23,0.48076076387252553
431,2022-06-24,0.6081763822819812
432,2022-06-27,0.6319134889770509
433,2022-06-28,0.631993244975428
434,2022-06-29,0.7041257331637373
435,2022-06-30,0.7880340874246162
436,2022-07-01,0.7881220183805274
437,2022-07-04,0.7580761837008594
438,2022-07-05,0.7648759055806124
439,2022-07-06,0.7359862396421569
440,2022-07-07,0.736125078518084
441,2022-07-08,0.6694527786033071
442,2022-07-11,0.6046464213322111
443,2022-07-12,0.6079092947948549
444,2022-07-13,0.5296012080881956
445,2022-07-14,0.5345064975177478
446,2022-07-15,0.5315492145102563
447,2022-07-18,0.5304624794748652
448,2022-07-19,0.6098052111207297
449,2022-07-20,0.7111923796593392
450,2022-07-21,0.7252225650531243
451,2022-07-22,0.7420373108768897
452,2022-07-25,0.744892458062757
453,2022-07-26,0.7404136665848355
454,2022-07-27,0.6870479311685858
455,2022-07-28,0.6892050069704435
456,2022-07-29,0.598660584782084
457,2022-08-01,0.6621417928324447
458,2022-08-02,0.6410440133138074
459,2022-08-03,0.6447838175082055
460,2022-08-04,0.6580354981558703
461,2022-08-05,0.6492492202415153
462,2022-08-08,0.6222381554779793
463,2022-08-09,0.6255425147181223
464,2022-08-10,0.6235411998185636
465,2022-08-11,0.6215213540535274
466,2022-08-12,0.6383766936711834
467,2022-08-15,0.6569640165025032
468,2022-08-16,0.6676457085451647
469,2022-08-17,0.6674344997692926
470,2022-08-18,0.6378660858020546
471,2022-08-19,0.6288204171621846
472,2022-08-22,0.6536487619088273
473,2022-08-23,0.6883029089668163
474,2022-08-24,0.7124934924319889
475,2022-08-25,0.7039128278757811
476,2022-08-26,0.6621266842859272
477,2022-08-29,0.7048653175138135
478,2022-08-30,0.6017385215590818
479,2022-08-31,0.5375302352628015
480,2022-09-01,0.5437681361801062
481,2022-09-02,0.5248219499717104
482,2022-09-05,0.5463235718360978
483,2022-09-06,0.5523622372015454
484,2022-09-07,0.5425494448905402
485,2022-09-08,0.5547710640612836
486,2022-09-09,0.5481636269960921
487,2022-09-12,0.5466648675279071
488,2022-09-13,0.5414874300048355
489,2022-09-14,0.5955229039352237
490,2022-09-15,0.5553081094959927
491,2022-09-16,0.5274528924491706
492,2022-09-19,0.5382750390634111
493,2022-09-20,0.5374398524415465
494,2022-09-21,0.5269139277804036
495,2022-09-22,0.5208378871474688
496,2022-09-23,0.5294515743786475
497,2022-09-26,0.5099583350093706
498,2022-09-27,0.4850701128799767
499,2022-09-28,0.47980788385013456
500,2022-09-29,0.5079441365685949
501,2022-09-30,0.5917512340921164
502,2022-10-03,0.5961735981089636
503,2022-10-04,0.5986977143271958
504,2022-10-05,0.5979241098372341
505,2022-10-06,0.6174201109676023
506,2022-10-07,0.6164791619045437
507,2022-10-10,0.5433100944820636
508,2022-10-11,0.6135215610738821
509,2022-10-12,0.6349115355379704
510,2022-10-13,0.6051424397156255
511,2022-10-14,0.6201116875516758
512,2022-10-17,0.6376633304329486
513,2022-10-18,0.7726518312248319
514,2022-10-19,0.8266352721751175
515,2022-10-20,0.8039386032226729
516,2022-10-21,0.8456267826038384
517,2022-10-24,0.8534413039989344
518,2022-10-25,0.793752983870599
519,2022-10-26,0.9603470774567522
520,2022-10-27,1.0174227972685488
521,2022-10-28,1.0150670505907904
522,2022-10-31,1.1579603183426441
523,2022-11-01,1.1533426058572598
524,2022-11-02,1.1432903406263701
525,2022-11-03,1.134631460291427
526,2022-11-04,1.1183659197798765
527,2022-11-07,1.1915568719093492
528,2022-11-08,1.140890659877022
529,2022-11-09,1.1913384431413343
530,2022-11-10,1.201314920292609
531,2022-11-14,1.3763525571793553
532,2022-11-15,1.3751006724853594
533,2022-11-16,1.4284782317789277
534,2022-11-17,1.3410044240931773
535,2022-11-18,1.3253523108688643
536,2022-11-21,1.3494278012662766
537,2022-11-22,1.3646418021127587
538,2022-11-23,1.3773064129578343
539,2022-11-24,1.356249289034782
540,2022-11-25,1.3545672693840565
541,2022-11-28,1.363446818595301
542,2022-11-29,1.411759853528708
543,2022-11-30,1.3941001174292291
544,2022-12-01,1.3239954256782152
545,2022-12-02,1.3670884507952312
546,2022-12-05,1.391171088600954
547,2022-12-06,1.4023688796314986
548,2022-12-07,1.4535001074106122
549,2022-12-08,1.5144702630714275
550,2022-12-09,1.5177091190423107
551,2022-12-12,1.5208881523477868
552,2022-12-13,1.5929732270648278
553,2022-12-14,1.5999881905089688
554,2022-12-15,1.629250513283357
555,2022-12-16,1.5464907603939892
556,2022-12-19,1.5528206580740573
557,2022-12-20,1.57434811325298
558,2022-12-21,1.514026192805009
559,2022-12-22,1.50200310516437
560,2022-12-23,1.5023127349189622
561,2022-12-27,1.4990862595364598
562,2022-12-28,1.4946957048974325
563,2022-12-29,1.5054529967701311
564,2022-12-30,1.5653971044973753
565,2023-01-03,1.5340298486041095
566,2023-01-04,1.4919415094742965
567,2023-01-05,1.5946595504775336
568,2023-01-06,1.8862479875096396
569,2023-01-09,1.8807808083940514
570,2023-01-10,1.8761517111120931
571,2023-01-11,1.847504880929585
572,2023-01-12,1.750236235741206
573,2023-01-13,1.7418438505302183
574,2023-01-16,1.7411703662750067
575,2023-01-17,1.7712982117462261
576,2023-01-18,1.7712954558668637
577,2023-01-19,1.8916609870162298
578,2023-01-20,1.8713618848469702
579,2023-01-23,1.880400546666362
580,2023-01-24,1.8789105391314058
581,2023-01-25,1.8679492719552113
582,2023-01-26,1.869903361362016
583,2023-01-27,1.8418614817025765
584,2023-01-30,1.8458153775540642
585,2023-01-31,1.8510116931047074
586,2023-02-01,1.8456387326682713
587,2023-02-02,2.0015838711797933
588,2023-02-03,1.982909064182174
589,2023-02-06,2.011563085274482
590,2023-02-07,2.026236334227286
591,2023-02-08,2.021654514270271
592,2023-02-09,2.0065260569345638
593,2023-02-10,2.030730650545359
594,2023-02-13,1.9867655483764026
595,2023-02-14,1.988894377605633
596,2023-02-15,1.9860938119585358
597,2023-02-16,2.0098592369522432
598,2023-02-17,2.014055438650987
599,2023-02-20,1.9955155468737173
600,2023-02-21,1.9761661848979384
601,2023-02-22,2.06937122812333
602,2023-02-23,2.063880728748694
603,2023-02-24,2.1838494078148827
604,2023-02-27,2.041320305211583
605,2023-02-28,2.0375799565239032
606,2023-03-01,2.0696518774703265
607,2023-03-02,2.1020459878534314
608,2023-03-03,2.194222369921473
609,2023-03-06,2.2172155457356943
610,2023-03-07,2.2270381083730855
611,2023-03-08,2.17188212429565
612,2023-03-09,2.121559340446442
613,2023-03-10,2.1944719555837433
614,2023-03-13,2.1825753003662336
615,2023-03-14,2.181737729624199
616,2023-03-15,2.238701694817492
617,2023-03-16,2.307201325970235
618,2023-03-17,2.3183730183243436
619,2023-03-20,2.3568659654765254
620,2023-03-21,2.361868338488611
621,2023-03-22,2.3661055870924494
622,2023-03-23,2.4994211677256444
623,2023-03-24,2.392426432726196
624,2023-03-27,2.4363195953343375
625,2023-03-28,2.4207849298398814
626,2023-03-29,2.399244719488007
627,2023-03-30,2.404122696537663
628,2023-03-31,2.4133105162008364
629,2023-04-03,2.387210969778079
630,2023-04-04,2.3025330457076345
631,2023-04-05,2.213468859704048
632,2023-04-06,2.229773159397988
633,2023-04-10,2.225438237626057
634,2023-04-11,2.243697172363961
635,2023-04-12,2.239876699259143
636,2023-04-13,2.263830693890421
637,2023-04-14,2.2650951718757497
638,2023-04-17,2.269084578486347
639,2023-04-18,2.334685444738633
640,2023-04-19,2.34148603020402
641,2023-04-20,2.340926621404602
642,2023-04-21,2.2698018540804785
643,2023-04-24,2.2518974991001315
644,2023-04-25,2.20920527469137
645,2023-04-26,2.145730409231523
646,2023-04-27,2.14583038197233
647,2023-04-28,2.160114250868253
648,2023-05-01,2.1569306140866416
649,2023-05-02,2.145814093211898
650,2023-05-03,2.0214358192768427
651,2023-05-04,1.961668619942183
652,2023-05-05,1.9220365201770095
653,2023-05-08,1.943097810844943
654,2023-05-09,1.942556503128034
655,2023-05-10,1.9374469220031143
656,2023-05-11,1.9657181387741025
657,2023-05-12,1.906463097409284
658,2023-05-15,1.8894134980671744
659,2023-05-16,1.889653103336486
660,2023-05-17,1.7751922601400403
661,2023-05-18,1.6362170722469098
662,2023-05-19,1.6711910259715517
